additions,assignees,AssignmentId,c_num,changed_files,CI_latency,CI_result,closer,collaborator_status,comments,commits,commits_on_files_touched,contributors_url,cores,deletions,experience,F_API_merged,F_Q1_core_s,F_Q1_other_s,F_Q1_support,F_Q2_a_core,F_Q2_a_other,F_Q2_alternate,F_Q3_dis_s,F_Q3_dis_s_bug,F_Q3_dis_s_constc,F_Q3_dis_s_improve,F_Q4_dis_p,F_Q4_dis_p_nf,F_Q4_dis_p_nv,F_Q5_implemented,F_Q5_merged,first_response,forks,HIT_ID,is_org,lables,mergeable_state,merged,milestones,num_comments,num_commits,open_issues,p_num,P1_Submitter,P2_Cores,P3_External,participants,perc_external_contribs,pr_link,prev_pullreqs,project_maturity,Q1_Support?,Q2_Alternate S?,Q3_Dis_Solution?,Q4_Dis_Problem?,Q5_Outcome?,requester_succ_rate,sloc,social_distance,src_churn,stars,submitter,submitter_status,team_size,watchers,WorkerId
118,0,3XUHV3NRVLMLL3EMQH492SVR25UH5G,11,3,,0,,FALSE,11,1,2,https://github.com/drothlis/stb-tester/graphs/contributors,"drothlis, wmanley",32,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1269,52,10017,0,0,dirty,FALSE,0,11,1,24,2,szemate,"drothlis, wmanley",{},2,0.02,https://github.com/drothlis/stb-tester/pull/9,1,52,"Y,core",N,N,N,"Rej, not sure.",0,717,0,150,74,,0,1,74,ABFSVRWVFHZ6P
23,0,3WQQ9FUS6BIUH8U2ON1GS12K8FE8BA,10,2,,0,,FALSE,10,2,0,https://github.com/mxcl/homebrew/graphs/contributors,"BrewTestBot, jacknagel, adamv",0,666,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,648,13988,10020,0,0,dirty,FALSE,0,10,2,1,3,jpld,"BrewTestBot, jacknagel, adamv, mikemcquaid, asparagui, domt4, xu-cheng, mxcl, mistydemeo,",none,3,0,https://github.com/mxcl/homebrew/pull/3403,0,13989,N,"Y,core",N,"Y, no value","Rej, not sure.",0,586,0,23,29468,,0,4,29468,AMZVZJL54O491
2683,0,3IRIK4HM3B8QNZ3K980DJ7CBWWYC63,11,82,,0,liach,FALSE,11,2,3,https://github.com/SpongePowered/SpongeAPI/graphs/contributors,"gabizou, Zidane, Minecrell",76,579,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,324,353,1117,0,0,dirty,FALSE,0,11,2,173,5,liach,"gabizou, Zidane, Minecrell, zml2008,","kashike, liach, Tzky,",9,0.2,https://github.com/SpongePowered/SpongeAPI/pull/1012,1,353,"Y,others","Y,core|Y,others","Y,bug","Y, no value",NN,0,5739,0,2759,845,liach,0,9,845,A2958TQAW43MP6
83,0,3N4BPTXIO9GT8859X3FENW307M0UK6,12,23,,1,ChengTiesheng,FALSE,12,12,2,https://github.com/appc/cni/graphs/contributors,"steveeJ, eyakubovich",9,211,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,469,113,1181,0,2,dirty,FALSE,0,12,12,88,4,ChengTiesheng,"steveeJ, jonboulle, dcbw, squaremo, eyakubovich, philips, tomdee, rosenhouse, zachgersh",ChengTiesheng,4,0.56,https://github.com/appc/cni/pull/94,2,113,"Y,core",N,"Y,improve",N,NN,0.5,276,0,92,363,ChengTiesheng,0,2,363,ABFSVRWVFHZ6P
98,0,3DR23U6WE62BMVYA1CE1K54SZUPET2,13,1,,0,csnover,TRUE,13,2,15,https://github.com/scummvm/scummvm/graphs/contributors,"fingolfin, dreammaster, sev-",116,2111,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,502,336,1202,0,0,dirty,FALSE,0,13,2,11,3,csnover,"fingolfin, dreammaster, sev-, csnover, bluegr, Strangerke, ordhoto, m-kiewitz, eriktorbjorn, aquadran, clone2727, DrMcCoy",na,3,0.02,https://github.com/scummvm/scummvm/pull/645,2,336,N,"Y,core","Y,improve","Y,not fit.",NN,0.5,75462,0,214,675,csnover,1,18,675,A38NFX88VZDMJ3
177,0,3VFJCI1K40NWQUH93IZUKTONT69RGQ,13,9,,0,saghul,FALSE,13,1,23,https://github.com/libuv/libuv/graphs/contributors,"bnoordhuis, piscisaureus, saghul",0,1183,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,917,859,1206,0,0,dirty,FALSE,0,13,1,125,3,cjihrig,"bnoordhuis, piscisaureus, saghul, ry, indutny","sam-github, cjihrig",4,0,https://github.com/libuv/libuv/pull/672,5,859,N,N,"Y,improve",N,NY,0,2216,0,177,5153,cjihrig,1,4,5154,ABFSVRWVFHZ6P
189,0,379J5II41P4N3IQ5S3CAYEUB8J8LEI,13,3,,1,peterbarker,FALSE,13,7,24,https://github.com/dronekit/dronekit-python/graphs/contributors,"tcr3dr, hamishwillee, geeksville",2,1128,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,833,222,1209,0,0,dirty,FALSE,0,13,7,133,4,squilter,"hamishwillee, peterbarker, krufab, geeksville, mrpollo, tcr3dr",squilter,4,0,https://github.com/dronekit/dronekit-python/pull/509,2,222,"Y,core","Y,core","Y,bug",N,NN,0,153,0,191,211,squilter,1,3,211,ABFSVRWVFHZ6P
521,1,3AZHRG4CU587WOLMEQ9VH3YRGBV30M,13,9,,0,superkhau,FALSE,13,25,10,https://github.com/strongloop/loopback-connector-remote/graphs/contributors,"bajtos, kraman",368,1737,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,613,13,1217,0,0,dirty,FALSE,0,13,25,17,3,glesage,"Amir-61, bajtos, rmg, richardpringle, kraman, ritch, superkhau","glesage, slnode, altsang",4,4.5,https://github.com/strongloop/loopback-connector-remote/pull/30,2,13,N,"Y,core",N,N,NN,0.5,33,0,889,10,glesage,0,1,10,ABFSVRWVFHZ6P
175,0,3AWETUDC93GJOC9V3NTAR831E3ZIZI,13,16,,0,jhpark816,TRUE,13,5,14,https://github.com/naver/arcus-java-client/graphs/contributors,"jhpark816, whchoi83",99,997,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,11,1222,0,0,dirty,FALSE,0,13,5,7,3,whchoi83,"jhpark816, whchoi83, aiceru, hoonmin",@jhpark816,3,0.04,https://github.com/naver/arcus-java-client/pull/41,4,11,N,"Y,core",N,N,NY,0.5,2089,1,274,12,whchoi83,0,3,12,A2958TQAW43MP6
204,0,3NQL1CS15SWO5SJQ68QASQKUJ7IVYP,13,5,103,0,facebook-github-bot-6,FALSE,13,4,1,https://github.com/facebook/buck/graphs/contributors,"andrewjcg, bolinfest, bhamiltoncx",0,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,1228,0,2,dirty,FALSE,0,13,4,197,3,grumpyjames,"andrewjcg, bolinfest, bhamiltoncx, ryu2","grumpyjames, facebook-github-bot, sdwilsh",3,0.19,https://github.com/facebook/buck/pull/611,22,566,N,N,N,N,NN,0,18987,0,204,3256,grumpyjames,0,1,3256,ABFSVRWVFHZ6P
72,0,3UJ1CZ6IZIDABCS21BG8662TNJZS5I,14,3,196,0,jayunit100,FALSE,14,2,0,https://github.com/openshift/origin/graphs/contributors,"openshift-bot, smarterclayton, deads2k",7,1677,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,270,1337,1243,0,0,dirty,FALSE,0,14,2,1152,4,jayunit100,"rajatchopra, mfojtik, pravisankar, liggitt, danwinship, dcbw, smarterclayton, deads2k, bparees, danmcp, openshift-bot, ncdc, jwforres","jayunit100, timothysc, jeremyeder, pmorie, stevekuznetsov",6,0.07,https://github.com/openshift/origin/pull/6541,3,1338,N,"Y,core","Y,inconsistency",N,NN,0,15488,0,79,1999,jayunit100,0,31,1999,ABFSVRWVFHZ6P
114,0,3AQF3RZ5596XQBNU0AQERDXFW3TF6D,14,1,1129,1,UniqMartin,FALSE,14,1,0,https://github.com/Homebrew/homebrew/graphs/contributors,"BrewTestBot, jacknagel, adamv",0,2678,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,828,13989,1250,0,2,dirty,FALSE,0,14,1,1,4,tonycosentini,"BrewTestBot, jacknagel, adamv, mistydemeo","tonycosentini, UniqMartin, bfontaine, DomT4, MikeMcQuaid",5,0,https://github.com/Homebrew/homebrew/pull/47792,1,13989,N,N,"Y,improve",N,NY,0,586,0,114,29468,tonycosentini,0,9,29468,ABFSVRWVFHZ6P
0,0,3COPXFW7XC0GG3XDGHGKDQG0UIYKP9,15,0,234,0,sykesm,FALSE,15,0,2,https://github.com/pkg/sftp/graphs/contributors,"davecheney, marksheahan",0,951,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,197,91,1269,0,0,dirty,FALSE,0,15,0,26,4,https://github.com/sykesm,"davecheney, marksheahan",https://github.com/marksheahan https://github.com/mdlayher,4,0.73,https://github.com/pkg/sftp/pull/68,2,91,"Y,others","Y,core",N,N,NN,0.5,155,0,0,301,sykesm,0,1,301,AT9K95UXPKH3J
101,1,3ON104KXQLKLMA5B7B7ZY3Z1VNZ4WH,16,5,1105,0,facebook-github-bot-9,FALSE,16,1,5,https://github.com/facebook/react-native/graphs/contributors,"vjeux, nicklockwood, mkonicek",3,2554,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1265,9084,1292,0,2,dirty,FALSE,0,16,1,994,7,Charca,"foghina, sahrens, javache, spicyj, andreicoman11, AaaChiuuu, satya164, tadeuzagallo, mkonicek, frantic, nicklockwood, cpojer, amasad, brentvatne, a2, vjeux, ide, ericvicenti, martinbigio, bestander","facebook-github-bot, terrysahaidak, kmagiera",6,0.52,https://github.com/facebook/react-native/pull/5105,1,9085,"Y,core",N,N,N,NN,0,7646,0,104,40263,Charca,0,18,40265,ABFSVRWVFHZ6P
123,0,3LRLIPTPERX9TZRBRYYNNVR60KSKA6,17,24,,0,asfgit,TRUE,17,2,8,https://github.com/apache/spark/graphs/contributors,"mateiz, rxin, pwendell",137,1678,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1359,9997,1317,0,0,dirty,FALSE,0,17,2,449,4,srowen,"ankurdav, mateiz, rxin, pwendell, JoshRosen, tdas, ankurdave, srowen, marmbrus, ScrapCodes, aarondav, andrewor14, kayousterhout, jegonzal,  holdenk, markhamstra, mengxr, jkbradley",thunterdb,4,0.02,https://github.com/apache/spark/pull/10570,237,9997,"Y,others","Y,others",N,N,NY,0,26011,0,260,10703,srowen,1,16,10703,ABFSVRWVFHZ6P
471,0,3MTMREQS4W60OZLSGCHQB6L0KA5AWT,17,11,,0,WonderCsabo,FALSE,17,16,0,https://github.com/excilys/androidannotations/graphs/contributors,"pyricau, WonderCsabo, yDelouis",12,1045,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,14,2299,1318,0,0,dirty,FALSE,0,17,16,69,3,shiraji,"pyricau, WonderCsabo, yDelouis","dodgex,",3,0.49,https://github.com/excilys/androidannotations/pull/1673,10,2299,"Y,core","Y,others","Y,bug|Y,inconsistency","Y,others",NN,0.8,2209,0,483,8513,shiraji,0,3,8513,A2958TQAW43MP6
